Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Island,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2020-03-02,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-04,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-05,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-06,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-07,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-09,IDN,Indonesia,13,0,0,13,19,0,0,19,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.05,0.07,0.0,0.0,0.0,0.0,6.5,1.0
2020-03-10,IDN,Indonesia,8,0,2,6,27,0,2,25,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.1,0.0,0.0,0.0,7.41,0.62,1.0
2020-03-11,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.13,0.0,0.0,2.94,5.88,0.88,0.0
2020-03-12,IDN,Indonesia,0,0,0,0,34,1,2,31,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.0,0.13,0.0,0.0,2.94,5.88,0.0,0.0
2020-03-13,IDN,Indonesia,35,3,0,32,69,4,2,63,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.13,0.26,0.01,0.02,5.8,2.9,0.0,0.0
2020-03-14,IDN,Indonesia,27,1,6,20,96,5,8,83,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.1,0.36,0.0,0.02,5.21,8.33,0.77,0.33
2020-03-15,IDN,Indonesia,21,0,0,21,117,5,8,104,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.08,0.44,0.0,0.02,4.27,6.84,0.78,0.0
2020-03-16,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0.0,0.02,3.73,5.97,0.81,1.0
2020-03-17,IDN,Indonesia,38,0,1,37,172,5,9,158,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.14,0.65,0.0,0.02,2.91,5.23,2.24,1.0
2020-03-18,IDN,Indonesia,55,14,2,39,227,19,11,197,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.21,0.86,0.05,0.07,8.37,4.85,1.45,0.0
2020-03-19,IDN,Indonesia,82,6,4,72,309,25,15,269,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.17,0.02,0.09,8.09,4.85,1.49,0.43
2020-03-20,IDN,Indonesia,60,7,2,51,369,32,17,320,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.23,1.39,0.03,0.12,8.67,4.61,0.73,1.17
2020-03-21,IDN,Indonesia,81,6,3,72,450,38,20,392,Country,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.7,0.02,0.14,8.44,4.44,1.35,0.86
