Location,Location ISO Code,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Island,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Urban Village Percentage,num_rujukan,num_tidur,Hospitals per Area
DKI Jakarta,ID-JK,2022,21,1970,31,183735,3270,164776,15689,Province,DKI Jakarta,Jawa,1,5.0,44,267.0,0.0,664,10846145,16334.31,106.8361183,-6.204698991,186.43,16940.12,1.94,301.49,1.78,89.68,0.98,1.0,1.0,15.0,5375.0,0.022590361445783132
Jawa Timur,ID-JI,935,65,757,113,84152,5827,72135,6190,Province,Jawa Timur,Jawa,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.73294140000002,-7.723345579,23.1,2078.9,1.61,143.95,6.92,85.72,1.04,1.07,0.09140101164568874,183.0,27189.0,0.003828211618517666
Jawa Barat,ID-JB,1024,11,1247,-234,83579,1172,70896,11511,Province,Jawa Barat,Jawa,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,22.67,1850.68,0.24,25.95,1.4,84.83,0.83,5.5,0.10827597784119523,61.0,11316.0,0.0017242354005314038
Jawa Tengah,ID-JT,939,18,354,567,81716,3361,54212,24143,Province,Jawa Tengah,Jawa,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,25.82,2247.16,0.49,92.43,4.11,66.34,0.99,0.58,0.08794674141555711,87.0,18303.0,0.002652358159812201
Sulawesi Selatan,ID-SN,479,0,0,479,31047,580,25861,4606,Province,Sulawesi Selatan,Sulawesi,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.1620559,-3.731080714,50.81,3293.45,0.0,61.53,1.87,83.3,0.89,0.0,0.259927797833935,57.0,9204.0,0.0012201125928462872
Kalimantan Timur,ID-KI,364,5,236,123,27076,723,22058,4295,Province,Kalimantan Timur,Kalimantan,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,102.47,7622.34,1.41,203.54,2.67,81.47,1.14,0.71,0.18978805394990367,17.0,2850.0,0.00013171453586121936
Riau,ID-RI,110,1,77,32,24966,580,23105,1281,Province,Riau,Sumatera,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,18.11,4110.24,0.16,95.49,2.32,92.55,0.78,0.25,0.1441635287789134,46.0,4597.0,0.0005285898143041
Sumatera Barat,ID-SB,117,3,26,88,23464,522,18030,4912,Province,Sumatera Barat,Sumatera,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.4650624,-0.850253225,21.2,4251.31,0.54,94.58,2.22,76.84,0.94,3.0,0.19861830742659758,11.0,1089.0,0.00026182372122914336
Banten,ID-BT,269,0,82,187,18170,404,10209,7557,Province,Banten,Jawa,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.1090043,-6.456736388,25.09,1694.59,0.0,37.68,2.22,56.19,1.56,0.0,0.20180528691166988,11.0,1493.0,0.001138362827279313
Sumatera Utara,ID-SU,83,0,82,1,18149,679,15403,2067,Province,Sumatera Utara,Sumatera,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,5.58,1220.11,0.0,45.65,3.74,84.87,0.93,0.0,0.11342062193126023,39.0,4005.0,0.000534385662021622
Bali,ID-BA,179,0,0,179,17593,466,12477,4650,Province,Bali,Nusa Tenggara,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471687999999,42.46,4172.74,0.0,110.53,2.65,70.92,1.14,1.0,0.11173184357541899,12.0,2099.0,0.0020761245674740486
Kalimantan Selatan,ID-KS,66,4,82,-20,15303,585,13807,911,Province,Kalimantan Selatan,Kalimantan,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.993594979,16.41,3803.83,0.99,145.41,3.82,90.22,0.89,2.0,0.07171314741035857,6.0,1474.0,0.0001548626884162709
Papua,ID-PA,55,1,100,-46,13216,147,7058,6011,Province,Papua,Papua,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,12.67,3044.92,0.23,33.87,1.11,53.4,1.77,0.0,0.01992392682485057,17.0,2222.0,5.3285522636943796e-05
Daerah Istimewa Yogyakarta,ID-YO,257,0,119,138,12155,260,8176,3719,Province,Daerah Istimewa Yogyakarta,Jawa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,70.78,3347.55,0.0,71.61,2.14,67.26,0.87,0.0,0.1050228310502283,54.0,4989.0,0.017235876157037984
Sumatera Selatan,ID-SS,92,1,50,41,11826,599,9364,1863,Province,Sumatera Selatan,Sumatera,13,4.0,241,387.0,2853.0,91592,8217551,89.72,104.1694647,-3.216211808,11.2,1439.11,0.12,72.89,5.07,79.18,0.84,0.5,0.11944444444444445,51.0,6833.0,0.0005568171892741724
