,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah
0,106.811428,-6.210965,RS UMUM AL DR MINTOHARJO,3173036,202,-6.210965,106.811428,JL. BENDUNGAN HILIR 17 JAKPUS,RS_RUJUKAN_NASIONAL,"JAKARTA PUSAT, DKI JAKARTA"
1,106.837643,-6.176125,RS UMUM PAD GATOT SOEBROTO,3173025,528,-6.176125,106.837643,JL. DR. ABDUL  RAHMAN SALEH NO. 24  JAKARTA PUSAT,RS_RUJUKAN_NASIONAL,"JAKARTA PUSAT, DKI JAKARTA"
2,110.33810700000001,-7.892811999999999,RS UMUM DAERAH PANEMBAHAN SENOPATI,3402016,214,-7.892811999999999,110.33810700000001,JL DR. WAHIDIN SUDIRO HUSODO BANTUL,RS_RUJUKAN_NASIONAL,"BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
3,110.147947,-7.858816,RS UMUM DAERAH WATES,3401015,154,-7.858816,110.147947,JL TENTARA PELAJAR KM.1 NO.5 WATES KULON PROGO,RS_RUJUKAN_NASIONAL,"KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA"
4,107.897,-7.2197,RS UMUM DAERAH DR. SLAMET GARUT,3205010,455,-7.2197,107.897,JL. RUMAH SAKIT NO.12 GARUT,RS_RUJUKAN_NASIONAL,"GARUT, JAWA BARAT"
5,107.536,-6.8861,RS UMUM TK II DUSTIRA,3277031,447,-6.8861,107.536,JL. DR. DUSTIRA NO.1 KEL. BAROS KEC. CIMAHI TENGAH,RS_RUJUKAN_NASIONAL,"KOTA CIMAHI, JAWA BARAT"
6,110.466788,-7.033936,RS UMUM DAERAH K.R.M.T WONGSONEGORO,3374342,367,-7.033936,110.466788,JL. FATMAWATI RAYA NO.1,RS_RUJUKAN_NASIONAL,"SEMARANG, JAWA TENGAH"
7,106.870709,-6.26955,RS UMUM BHAYANGKARA TK. I R.SAID SUKANTO,3172072,968,-6.26955,106.870709,"JL. RAYA BOGOR KRAMAT JATI,JAKARTA TIMUR",RS_RUJUKAN_NASIONAL,"JAKARTA TIMUR, DKI JAKARTA"
8,106.884825,-6.202804,RSUP PERSAHABATAN,3172013,487,-6.202804,106.884825,"JL. PERSAHABATAN RAYA NO. 1,JAKTIM",RS_RUJUKAN_NASIONAL,"JAKARTA TIMUR, DKI JAKARTA"
9,106.939,-6.6874,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,3201024,151,-6.6874,106.939,"JL. RAYA PUNCAK KM.83, PO BOX 28 CISARUA BOGOR 16750",RS_RUJUKAN_NASIONAL,"BOGOR, JAWA BARAT"
10,106.86200000000001,-6.1303,RS PENYAKIT INFEKSI PROF. DR. SULIANTI SAROSO,3175064,152,-6.1303,106.86200000000001,JL. BARU SUNTER PERMAI RAYA JAKARTA UTARA,RS_RUJUKAN_NASIONAL,"JAKARTA UTARA, DKI JAKARTA"
11,106.79580690000002,-6.281179667999999,RSUP FATMAWATI,3171012,538,-6.281179667999999,106.79580690000002,"JL. RS FATMAWATI CILANDAK,JAKSEL",RS_RUJUKAN_NASIONAL,"JAKARTA SELATAN, DKI JAKARTA"
12,103.954,1.0871899999999999,RS BADAN PENGUSAHAAN BATAM,2071034,112,1.0871899999999999,103.954,"JL. DR. CIPTO MANGUNKUSUMO NO.1,  SEKUPANG,BATAM",RS_RUJUKAN_NASIONAL,"KOTA BATAM, KEPULAUAN RIAU"
13,134.079282,-0.868453,RS UMUM DAERAH MANOKWARI,9102011,161,-0.868453,134.079282,"JL. SILIWANGI NO.1, MANOKWARI BAR., KABUPATEN MANOKWARI, PAPUA BAR. 98312",RS_RUJUKAN_NASIONAL,"MANOKWARI, PAPUA BARAT"
