,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
660,95.959794,5.363784,RS UMUM DAERAH TGK CHIK DITIRO SIGLI,1109016,305,5.363784,95.959794,JL. PROF. A. MAJID IBRAHIM SIGLI,RS_RUJUKAN_PROVINSI,ACEH,PIDIE
545,95.325526,5.894298,RS AL SABANG,1172031,34,5.894298,95.325526,"JL. TEUKU CIK DITIRO, KUTA ATEUEH, SUKAKARYA, KOTA SABANG, ACEH 24411",RS,ACEH,KOTA SABANG
470,97.934071,2.34539,RS UMUM DAERAH ACEH SINGKIL,1102016,94,2.34539,97.934071,JL. RIMO - SINGKIL KM.8 DESA GUNUNG LAGAN,RS,ACEH,ACEH SINGKIL
655,95.3172,5.51841,RS UMUM DAERAH MEURAXA,1171110,221,5.51841,95.3172,JL. SOEKARNO HATTA KM. 2 DESA MIBO KECAMATAN BANDA RAYA KOTA BANDA ACEH,RS_RUJUKAN_PROVINSI,ACEH,KOTA BANDA ACEH
656,96.4892,4.13144,RS UMUM DAERAH SULTAN ISKANDAR MUDA NAGAN RAYA,1115012,115,4.13144,96.4892,"JL. NASIONAL MEULABOH-TAPAK TUAN KM. 28,5 UJUNG PATIHAH KABUPATEN NAGAN RAYA",RS_RUJUKAN_PROVINSI,ACEH,NAGAN RAYA
657,96.837,3.7479,RS UMUM DAERAH TEUNGKU PEUKAN,1112011,189,3.7479,96.837,JL. NASIONAL PADANG MEURANTE KECAMATAN SUSOH,RS_RUJUKAN_PROVINSI,ACEH,ACEH BARAT DAYA
658,97.3733,3.93448,RS UMUM MUHAMMAD ALI KASIM,1113012,42,3.93448,97.3733,"JL.PANGUR-SANGIR, KEC DABUN GELANG",RS_RUJUKAN_PROVINSI,ACEH,GAYO LUES
659,96.698784,5.204113,RS UMUM DAERAH DR. FAUZIAH BIREUN,1110075,321,5.204113,96.698784,JL. MAYJEN T. HAMZAH BENDAHARA NO. 13 BIREUEN,RS_RUJUKAN_PROVINSI,ACEH,BIREUEN
136,96.859473,4.716863,RS IBU DAN ANAK AZALIA,1117027,24,4.716863,96.859473,"JL. EMPUN BAYAK KAMPUNG BALE ATU, TINGKEM BENYER, BUKIT, BENER MERIAH, NANGGROE ACEH DARUSSALAM (NAD) 24582",RS,ACEH,BENER MERIAH
661,97.7525,4.96232,RS UMUM DAERAH DR. ZUBIR MAHMUD,1105056,141,4.96232,97.7525,JL. MEDAN-BANDA ACEH KM. 372 DESA SEUNEUBOK BARAT KEC.IDI TIMUR KAB.ACEH TIMUR,RS_RUJUKAN_PROVINSI,ACEH,ACEH TIMUR
662,97.5891,3.76794,RS UMUM DAERAH H. SAHUDIN KUTACANE,1104011,162,3.76794,97.5891,JL. RAYA KUTACANE - BLANG KEJERAN KM 3 KUTACANE,RS_RUJUKAN_PROVINSI,ACEH,ACEH TENGGARA
663,97.3665,3.00035,RS UMUM DAERAH DR. H. YULIDIN AWAY,1103010,210,3.00035,97.3665,JL. T. BEN MAHMUD NOMOR 86 A TAPAKTUAN,RS_RUJUKAN_PROVINSI,ACEH,ACEH SELATAN
355,97.988251,4.468714,RS UMUM UMMI LANGSA,1173003,30,4.468714,97.988251,JL. PROF. MAJID IBRAHIM NO.10 A KOTA LANGSA,RS_RUJUKAN_PROVINSI,ACEH,KOTA LANGSA
65,95.3411,5.56997,RS UMUM DAERAH  DR. ZAINOEL ABIDIN,1171015,624,5.56997,95.3411,"JL. TGK DAUD BEUREUEH, NO. 108 B. ACEH",RS_RUJUKAN_NASIONAL,ACEH,KOTA BANDA ACEH
66,97.149,5.1892,RS UMUM DAERAH CUT MEUTIA KAB. ACEH UTARA,1174016,257,5.1892,97.149,JL. BANDA ACEH-MEDAN KM.6 BUKET RATA LHOKSEUMAWE,RS_RUJUKAN_NASIONAL,ACEH,KOTA LHOKSEUMAWE
664,96.85176155,4.636337702,RS UMUM DAERAH DATU BERU TAKENGON,1106013,343,4.636337702,96.85176155,JL. RUMAH SAKIT NO.153 KEC. KEBAYAKAN,RS_RUJUKAN_PROVINSI,ACEH,ACEH TENGAH
91,97.129721,5.174084,RS UMUM METRO MEDICAL CENTER,1174022,66,5.174084,97.129721,JALAN MERDEKA BARAT NOMOR 70A KOTA LHOKSEUMAWE PROVINSI ACEH,RS,ACEH,KOTA LHOKSEUMAWE
598,115.18242,-8.578750999999999,RS DAERAH MANGUSADA,5103032,212,-8.578750999999999,115.18242,"JL. RAYA KAPAL MENGWI, BADUNG ",RS_RUJUKAN_PROVINSI,BALI,BADUNG
624,115.2488544,-8.703553402,RS UMUM DAERAH BALI MANDARA PROVINSI BALI,5171220,180,-8.703553402,115.2488544,JL. BY PASS NGURAH RAI NO 548 DENPASAR,RS_RUJUKAN_PROVINSI,BALI,KOTA DENPASAR
627,115.143762,-8.081936,RS GIRI EMAS,5108079,0,-8.081936,115.143762,"JL. RAYA SANGSIT, DESA GIRI EMAS KECAMATAN SAWAN KABUPATEN BULELENG",RS_RUJUKAN_PROVINSI,BALI,BULELENG
552,115.213,-8.6489,RS UMUM DAERAH WANGAYA,5171020,176,-8.6489,115.213,JL. KARTINI NO.133 DENPASAR,RS_RUJUKAN_PROVINSI,BALI,KOTA DENPASAR
640,115.395,-8.5385,RS UMUM DAERAH KLUNGKUNG,5105013,105,-8.5385,115.395,JL. FLAMBOYAN NO. 40 SEMARAPURA,RS_RUJUKAN_PROVINSI,BALI,KLUNGKUNG
643,114.622,-8.3541,RS UMUM DAERAH NEGARA,5101016,130,-8.3541,114.622,JL. WIJAYA KUSUMA 17 NEGARA,RS_RUJUKAN_PROVINSI,BALI,JEMBRANA
57,115.2117501,-8.67573939400001,RSUP SANGLAH,5171016,602,-8.675739393999999,115.2117501,JL. DIPONEGORO DENPASAR BALI,RS_RUJUKAN_NASIONAL,BALI,KOTA DENPASAR
56,115.092,-8.1199,RS UMUM DAERAH KAB. BULELENG,5108016,274,-8.1199,115.092,JL. NGURAH RAI 30 SINGARAJA,RS_RUJUKAN_NASIONAL,BALI,BULELENG
901,115.17413700000002,-8.789107000000001,RS UNIVERSITAS UDAYANA,5103040,78,-8.789107000000001,115.17413700000002,"JL. RUMAH SAKIT UNUD, JIMBARAN, KEC. KUTA SEL., KABUPATEN BADUNG, BALI 80361",RS_RUJUKAN_PROVINSI,BALI,BADUNG
58,115.323,-8.5379,RS UMUM DAERAH SANJIWANI GIANYAR,5104012,126,-8.5379,115.323,JL. CIUNG WENARA NO.2 GIANYAR,RS_RUJUKAN_NASIONAL,BALI,GIANYAR
59,115.132,-8.5392,RS UMUM DAERAH TABANAN,5102010,186,-8.5392,115.132,JL. PAHLAWAN NO. 14 TABANAN,RS_RUJUKAN_NASIONAL,BALI,TABANAN
